,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
556,2020-04-01,03,Karmøy til Sotra,LAKS,red,54489570,90119344
558,2020-04-01,04,Nordhordland til Stadt,LAKS,red,34703108,56739533
560,2020-04-01,05,Stadt til Hustadvika,LAKS,yellow,15733686,24831283
562,2020-04-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73123803,137769031
564,2020-04-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,24669764,48997207
565,2020-04-01,08,Helgeland til Bodø,LAKS,green,41204673,84781136
566,2020-04-01,09,Vestfjorden og Vesterålen,LAKS,green,36777377,60248634
568,2020-04-01,10,Andøya til Senja,LAKS,green,34029966,56681648
570,2020-04-01,11,Kvaløy til Loppa,LAKS,green,20546099,32169764
571,2020-04-01,12,Vest-Finnmark,LAKS,green,35462161,60961158
572,2020-04-01,13,Øst-Finnmark,LAKS,green,2939529,4975772
573,2020-05-01,01,Svenskegrensen til Jæren,LAKS,green,6470875,10590839
574,2020-05-01,02,Ryfylket,LAKS,yellow,17141484,35292058
575,2020-05-01,03,Karmøy til Sotra,LAKS,red,52473671,87686425
577,2020-05-01,04,Nordhordland til Stadt,LAKS,red,33919431,56653130
579,2020-05-01,05,Stadt til Hustadvika,LAKS,yellow,18166374,25875700
581,2020-05-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73525551,134729878
583,2020-05-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,26850438,49635964
584,2020-05-01,08,Helgeland til Bodø,LAKS,green,45788029,83187906
585,2020-05-01,09,Vestfjorden og Vesterålen,LAKS,green,43395641,57256757
587,2020-05-01,10,Andøya til Senja,LAKS,green,33514111,52166865
589,2020-05-01,11,Kvaløy til Loppa,LAKS,green,25013005,33701129
590,2020-05-01,12,Vest-Finnmark,LAKS,green,39497085,61836157
591,2020-05-01,13,Øst-Finnmark,LAKS,green,3743540,5621943
592,2020-06-01,01,Svenskegrensen til Jæren,LAKS,green,6036856,11002264
593,2020-06-01,02,Ryfylket,LAKS,yellow,18248433,35046213
594,2020-06-01,03,Karmøy til Sotra,LAKS,red,50656465,86109872
596,2020-06-01,04,Nordhordland til Stadt,LAKS,red,32149149,55398535
598,2020-06-01,05,Stadt til Hustadvika,LAKS,yellow,21597906,29262134
600,2020-06-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,74794732,133216510
602,2020-06-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,27307747,53540906
603,2020-06-01,08,Helgeland til Bodø,LAKS,green,44086941,78780289
604,2020-06-01,09,Vestfjorden og Vesterålen,LAKS,green,44320363,63327610
606,2020-06-01,10,Andøya til Senja,LAKS,green,32819897,49913792
608,2020-06-01,11,Kvaløy til Loppa,LAKS,green,25663895,36199168
609,2020-06-01,12,Vest-Finnmark,LAKS,green,43045376,64436437
610,2020-06-01,13,Øst-Finnmark,LAKS,green,4345896,6566057
611,2020-07-01,01,Svenskegrensen til Jæren,LAKS,green,5788256,12343269
612,2020-07-01,02,Ryfylket,LAKS,yellow,17408406,37459824
613,2020-07-01,03,Karmøy til Sotra,LAKS,red,48759700,86683381
615,2020-07-01,04,Nordhordland til Stadt,LAKS,red,31835433,56225473
617,2020-07-01,05,Stadt til Hustadvika,LAKS,yellow,21461315,32686514
619,2020-07-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72865324,132073295
621,2020-07-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,28225481,50181419
622,2020-07-01,08,Helgeland til Bodø,LAKS,green,44526213,81633389
623,2020-07-01,09,Vestfjorden og Vesterålen,LAKS,green,42552266,69402922
625,2020-07-01,10,Andøya til Senja,LAKS,green,35308014,54741719
627,2020-07-01,11,Kvaløy til Loppa,LAKS,green,26749016,42899035
628,2020-07-01,12,Vest-Finnmark,LAKS,green,44199450,70145951
629,2020-07-01,13,Øst-Finnmark,LAKS,green,4335454,8158022
630,2020-08-01,01,Svenskegrensen til Jæren,LAKS,green,6011588,14110435
631,2020-08-01,02,Ryfylket,LAKS,yellow,19984112,41759540
632,2020-08-01,03,Karmøy til Sotra,LAKS,red,49739555,95782153
634,2020-08-01,04,Nordhordland til Stadt,LAKS,red,31375381,61583660
636,2020-08-01,05,Stadt til Hustadvika,LAKS,yellow,21689527,34901232
638,2020-08-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,71065523,127560579
640,2020-08-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31725581,47882451
641,2020-08-01,08,Helgeland til Bodø,LAKS,green,44986824,91026244
642,2020-08-01,09,Vestfjorden og Vesterålen,LAKS,green,45437131,77105469
644,2020-08-01,10,Andøya til Senja,LAKS,green,40310075,60888461
645,2020-08-01,11,Kvaløy til Loppa,LAKS,green,27645330,49942861
646,2020-08-01,12,Vest-Finnmark,LAKS,green,45389245,74468453
647,2020-08-01,13,Øst-Finnmark,LAKS,green,4329282,10230495
648,2020-09-01,01,Svenskegrensen til Jæren,LAKS,green,5466548,14406738
649,2020-09-01,02,Ryfylket,LAKS,yellow,24967776,47975661
650,2020-09-01,03,Karmøy til Sotra,LAKS,red,49723128,102632299
652,2020-09-01,04,Nordhordland til Stadt,LAKS,red,34276350,65750569
654,2020-09-01,05,Stadt til Hustadvika,LAKS,yellow,20022454,34136375
656,2020-09-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73394179,131936027
657,2020-09-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,32628237,48310431
658,2020-09-01,08,Helgeland til Bodø,LAKS,green,46314397,94760455
659,2020-09-01,09,Vestfjorden og Vesterålen,LAKS,green,45313360,77238892
661,2020-09-01,10,Andøya til Senja,LAKS,green,42355011,68333293
662,2020-09-01,11,Kvaløy til Loppa,LAKS,green,26101963,51628347
663,2020-09-01,12,Vest-Finnmark,LAKS,green,42586068,76371038
664,2020-09-01,13,Øst-Finnmark,LAKS,green,4273654,12136794
665,2020-10-01,01,Svenskegrensen til Jæren,LAKS,green,5457265,16247308
666,2020-10-01,02,Ryfylket,LAKS,yellow,27453251,51637453
667,2020-10-01,03,Karmøy til Sotra,LAKS,red,50094389,106330827
669,2020-10-01,04,Nordhordland til Stadt,LAKS,red,34839620,62951323
671,2020-10-01,05,Stadt til Hustadvika,LAKS,yellow,19339055,36304059
673,2020-10-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73413333,142251828
674,2020-10-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31922445,47897078
675,2020-10-01,08,Helgeland til Bodø,LAKS,green,48988202,95094583
676,2020-10-01,09,Vestfjorden og Vesterålen,LAKS,green,45615117,85007575
678,2020-10-01,10,Andøya til Senja,LAKS,green,43545626,76644600
679,2020-10-01,11,Kvaløy til Loppa,LAKS,green,23993155,48848113
680,2020-10-01,12,Vest-Finnmark,LAKS,green,47233264,82256179
681,2020-10-01,13,Øst-Finnmark,LAKS,green,3250297,9327650
682,2020-11-01,01,Svenskegrensen til Jæren,LAKS,green,5313808,18310693
683,2020-11-01,02,Ryfylket,LAKS,yellow,28459998,50112948
684,2020-11-01,03,Karmøy til Sotra,LAKS,red,47839804,109688275
686,2020-11-01,04,Nordhordland til Stadt,LAKS,red,33204985,59729233
688,2020-11-01,05,Stadt til Hustadvika,LAKS,yellow,18122409,36104657
690,2020-11-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73136520,156409969
691,2020-11-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31312378,48806780
692,2020-11-01,08,Helgeland til Bodø,LAKS,green,45999383,93221036
693,2020-11-01,09,Vestfjorden og Vesterålen,LAKS,green,46144029,88852112
695,2020-11-01,10,Andøya til Senja,LAKS,green,41202355,79021085
696,2020-11-01,11,Kvaløy til Loppa,LAKS,green,24181794,51014118
697,2020-11-01,12,Vest-Finnmark,LAKS,green,47902986,84977437
698,2020-11-01,13,Øst-Finnmark,LAKS,green,2104762,5022906
699,2020-12-01,01,Svenskegrensen til Jæren,LAKS,green,4882978,18633781
700,2020-12-01,02,Ryfylket,LAKS,yellow,26589719,45225245
701,2020-12-01,03,Karmøy til Sotra,LAKS,red,43745520,110028531
703,2020-12-01,04,Nordhordland til Stadt,LAKS,red,31764642,56391661
705,2020-12-01,05,Stadt til Hustadvika,LAKS,yellow,17240139,37994464
707,2020-12-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,68086709,158886917
708,2020-12-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31991815,51897276
709,2020-12-01,08,Helgeland til Bodø,LAKS,green,45038463,89236488
710,2020-12-01,09,Vestfjorden og Vesterålen,LAKS,green,45462271,88743250
712,2020-12-01,10,Andøya til Senja,LAKS,green,40220042,79774696
713,2020-12-01,11,Kvaløy til Loppa,LAKS,green,22389624,48320622
714,2020-12-01,12,Vest-Finnmark,LAKS,green,47381709,85437209
715,2020-12-01,13,Øst-Finnmark,LAKS,green,1994068,5052141
716,2021-01-01,01,Svenskegrensen til Jæren,LAKS,green,4576244,18791731
717,2021-01-01,02,Ryfylket,LAKS,yellow,25359943,45019865
718,2021-01-01,03,Karmøy til Sotra,LAKS,red,41218809,101939379
720,2021-01-01,04,Nordhordland til Stadt,LAKS,red,28838132,50312519
722,2021-01-01,05,Stadt til Hustadvika,LAKS,yellow,18513643,40073231
724,2021-01-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73978087,157078387
725,2021-01-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31720481,51966766
726,2021-01-01,08,Helgeland til Bodø,LAKS,green,42530549,88025586
727,2021-01-01,09,Vestfjorden og Vesterålen,LAKS,green,43004641,89246113
729,2021-01-01,10,Andøya til Senja,LAKS,green,38433920,81768465
730,2021-01-01,11,Kvaløy til Loppa,LAKS,green,23176349,48427251
731,2021-01-01,12,Vest-Finnmark,LAKS,green,45316778,82885600
732,2021-01-01,13,Øst-Finnmark,LAKS,green,1612369,3740235
733,2021-02-01,01,Svenskegrensen til Jæren,LAKS,green,3817080,16264647
734,2021-02-01,02,Ryfylket,LAKS,yellow,24122907,41845503
735,2021-02-01,03,Karmøy til Sotra,LAKS,red,38975697,97909908
737,2021-02-01,04,Nordhordland til Stadt,LAKS,red,27430437,47917750
739,2021-02-01,05,Stadt til Hustadvika,LAKS,yellow,19283303,42288109
741,2021-02-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,68933787,141273468
742,2021-02-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31595394,58835097
743,2021-02-01,08,Helgeland til Bodø,LAKS,green,40211030,81705972
744,2021-02-01,09,Vestfjorden og Vesterålen,LAKS,green,40783957,88884279
746,2021-02-01,10,Andøya til Senja,LAKS,green,35041253,75773000
747,2021-02-01,11,Kvaløy til Loppa,LAKS,green,21552022,46422726
748,2021-02-01,12,Vest-Finnmark,LAKS,green,43000797,78438312
749,2021-02-01,13,Øst-Finnmark,LAKS,green,1387106,2975686
750,2021-03-01,01,Svenskegrensen til Jæren,LAKS,green,2100132,8465792
751,2021-03-01,02,Ryfylket,LAKS,yellow,23962330,40081194
752,2021-03-01,03,Karmøy til Sotra,LAKS,red,44949786,94968851
754,2021-03-01,04,Nordhordland til Stadt,LAKS,red,26049612,42291723
756,2021-03-01,05,Stadt til Hustadvika,LAKS,yellow,18113593,41499129
758,2021-03-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,64941001,129863226
759,2021-03-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,30310970,59830359
760,2021-03-01,08,Helgeland til Bodø,LAKS,green,37932954,79231132
761,2021-03-01,09,Vestfjorden og Vesterålen,LAKS,green,38458191,88613198
763,2021-03-01,10,Andøya til Senja,LAKS,green,32419506,71623406
764,2021-03-01,11,Kvaløy til Loppa,LAKS,green,19353509,40878247
765,2021-03-01,12,Vest-Finnmark,LAKS,green,40079581,70938007
766,2021-03-01,13,Øst-Finnmark,LAKS,green,1383665,3145328
767,2021-04-01,01,Svenskegrensen til Jæren,LAKS,green,1165086,3782254
768,2021-04-01,02,Ryfylket,LAKS,yellow,23017334,41217535
769,2021-04-01,03,Karmøy til Sotra,LAKS,red,48727814,93873930
771,2021-04-01,04,Nordhordland til Stadt,LAKS,red,34226941,46389421
773,2021-04-01,05,Stadt til Hustadvika,LAKS,yellow,18726873,41310715
775,2021-04-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,69811134,126163737
776,2021-04-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31106103,59522228
777,2021-04-01,08,Helgeland til Bodø,LAKS,green,42918310,80048294
778,2021-04-01,09,Vestfjorden og Vesterålen,LAKS,green,37941047,84572714
780,2021-04-01,10,Andøya til Senja,LAKS,green,32102086,66178079
781,2021-04-01,11,Kvaløy til Loppa,LAKS,green,19925722,39394788
782,2021-04-01,12,Vest-Finnmark,LAKS,green,39177870,71725836
783,2021-04-01,13,Øst-Finnmark,LAKS,green,1380863,3328202
784,2021-05-01,01,Svenskegrensen til Jæren,LAKS,green,650990,1015148
785,2021-05-01,02,Ryfylket,LAKS,yellow,21705723,41401150
786,2021-05-01,03,Karmøy til Sotra,LAKS,red,47347088,88501261
788,2021-05-01,04,Nordhordland til Stadt,LAKS,red,34261207,48731112
790,2021-05-01,05,Stadt til Hustadvika,LAKS,yellow,21683212,45308043
792,2021-05-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,70638230,132547140
793,2021-05-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,33037362,62901907
794,2021-05-01,08,Helgeland til Bodø,LAKS,green,48442746,76766020
795,2021-05-01,09,Vestfjorden og Vesterålen,LAKS,green,42904662,77246814
797,2021-05-01,10,Andøya til Senja,LAKS,green,36744408,61691087
798,2021-05-01,11,Kvaløy til Loppa,LAKS,green,25175262,40179666
799,2021-05-01,12,Vest-Finnmark,LAKS,green,45720376,80711923
800,2021-05-01,13,Øst-Finnmark,LAKS,green,2120495,3688832
801,2021-06-01,01,Svenskegrensen til Jæren,LAKS,green,559763,868813
802,2021-06-01,02,Ryfylket,LAKS,yellow,22809817,44699290
803,2021-06-01,03,Karmøy til Sotra,LAKS,red,45392780,75429640
805,2021-06-01,04,Nordhordland til Stadt,LAKS,red,34741276,52111289
807,2021-06-01,05,Stadt til Hustadvika,LAKS,yellow,20244961,45252688
809,2021-06-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72749153,135932290
810,2021-06-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,34749273,65887649
811,2021-06-01,08,Helgeland til Bodø,LAKS,green,45940511,76222159
812,2021-06-01,09,Vestfjorden og Vesterålen,LAKS,green,43216571,74759359
814,2021-06-01,10,Andøya til Senja,LAKS,green,37023786,61454667
815,2021-06-01,11,Kvaløy til Loppa,LAKS,green,24155334,42452270
816,2021-06-01,12,Vest-Finnmark,LAKS,green,46443661,83246738
817,2021-06-01,13,Øst-Finnmark,LAKS,green,2108768,4298580
818,2021-07-01,01,Svenskegrensen til Jæren,LAKS,green,1752265,1433724
819,2021-07-01,02,Ryfylket,LAKS,yellow,23172711,50069816
820,2021-07-01,03,Karmøy til Sotra,LAKS,red,43183152,75871483
822,2021-07-01,04,Nordhordland til Stadt,LAKS,red,32740729,58319871
824,2021-07-01,05,Stadt til Hustadvika,LAKS,yellow,18474811,38508472
826,2021-07-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,73209921,140088427
827,2021-07-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,34236077,67325994
828,2021-07-01,08,Helgeland til Bodø,LAKS,green,45584136,81848838
829,2021-07-01,09,Vestfjorden og Vesterålen,LAKS,green,42164737,77261755
831,2021-07-01,10,Andøya til Senja,LAKS,green,36637557,67933558
832,2021-07-01,11,Kvaløy til Loppa,LAKS,green,26757235,47747053
833,2021-07-01,12,Vest-Finnmark,LAKS,green,48719811,89113658
834,2021-07-01,13,Øst-Finnmark,LAKS,green,2687526,5387216
835,2021-08-01,01,Svenskegrensen til Jæren,LAKS,green,2856737,2143666
836,2021-08-01,02,Ryfylket,LAKS,yellow,26372994,56376309
837,2021-08-01,03,Karmøy til Sotra,LAKS,red,47225675,84798653
839,2021-08-01,04,Nordhordland til Stadt,LAKS,red,34408565,61402443
841,2021-08-01,05,Stadt til Hustadvika,LAKS,yellow,18508930,33941022
843,2021-08-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,77334854,142287243
844,2021-08-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36064225,70309792
845,2021-08-01,08,Helgeland til Bodø,LAKS,green,44532479,88119924
846,2021-08-01,09,Vestfjorden og Vesterålen,LAKS,green,44779730,75651622
848,2021-08-01,10,Andøya til Senja,LAKS,green,39448641,79046212
849,2021-08-01,11,Kvaløy til Loppa,LAKS,green,24973702,45774895
850,2021-08-01,12,Vest-Finnmark,LAKS,green,46817776,91751921
851,2021-08-01,13,Øst-Finnmark,LAKS,green,2431523,5414381
852,2021-09-01,01,Svenskegrensen til Jæren,LAKS,green,5247543,3333745
853,2021-09-01,02,Ryfylket,LAKS,yellow,28126143,60715009
854,2021-09-01,03,Karmøy til Sotra,LAKS,red,48102654,89919246
856,2021-09-01,04,Nordhordland til Stadt,LAKS,red,35269546,62529177
858,2021-09-01,05,Stadt til Hustadvika,LAKS,yellow,16137524,30359768
860,2021-09-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,76253422,146473926
861,2021-09-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,35907912,73295216
862,2021-09-01,08,Helgeland til Bodø,LAKS,green,47648181,94867498
863,2021-09-01,09,Vestfjorden og Vesterålen,LAKS,green,44849487,74137205
864,2021-09-01,10,Andøya til Senja,LAKS,green,41669841,85156650
865,2021-09-01,11,Kvaløy til Loppa,LAKS,green,22343712,43278351
866,2021-09-01,12,Vest-Finnmark,LAKS,green,44725443,92302752
867,2021-09-01,13,Øst-Finnmark,LAKS,green,3556222,4280644
868,2021-10-01,01,Svenskegrensen til Jæren,LAKS,green,7426649,4637495
869,2021-10-01,02,Ryfylket,LAKS,yellow,27986164,62394269
870,2021-10-01,03,Karmøy til Sotra,LAKS,red,50546288,97876656
872,2021-10-01,04,Nordhordland til Stadt,LAKS,red,38000428,68238078
874,2021-10-01,05,Stadt til Hustadvika,LAKS,yellow,17023152,30532253
876,2021-10-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,76708924,150836375
877,2021-10-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,34405406,73557859
878,2021-10-01,08,Helgeland til Bodø,LAKS,green,46342634,97648553
879,2021-10-01,09,Vestfjorden og Vesterålen,LAKS,green,48062070,80641362
880,2021-10-01,10,Andøya til Senja,LAKS,green,43831870,87466937
881,2021-10-01,11,Kvaløy til Loppa,LAKS,green,20515424,43323418
882,2021-10-01,12,Vest-Finnmark,LAKS,green,42093841,89305429
883,2021-10-01,13,Øst-Finnmark,LAKS,green,3345600,4011232
884,2021-11-01,01,Svenskegrensen til Jæren,LAKS,green,7334546,5722446
885,2021-11-01,02,Ryfylket,LAKS,yellow,27226625,61398526
886,2021-11-01,03,Karmøy til Sotra,LAKS,red,49163046,102440176
888,2021-11-01,04,Nordhordland til Stadt,LAKS,red,36640742,70161329
890,2021-11-01,05,Stadt til Hustadvika,LAKS,yellow,16578985,33094120
892,2021-11-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72971237,152798994
893,2021-11-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,30819164,64045550
894,2021-11-01,08,Helgeland til Bodø,LAKS,green,47094720,96361808
895,2021-11-01,09,Vestfjorden og Vesterålen,LAKS,green,46158177,82137489
896,2021-11-01,10,Andøya til Senja,LAKS,green,43125831,86166901
897,2021-11-01,11,Kvaløy til Loppa,LAKS,green,22093716,42302430
898,2021-11-01,12,Vest-Finnmark,LAKS,green,40314462,80924003
899,2021-11-01,13,Øst-Finnmark,LAKS,green,3095972,2930582
900,2021-12-01,01,Svenskegrensen til Jæren,LAKS,green,7290917,7044355
901,2021-12-01,02,Ryfylket,LAKS,yellow,25218785,54478451
902,2021-12-01,03,Karmøy til Sotra,LAKS,red,46610938,104336982
904,2021-12-01,04,Nordhordland til Stadt,LAKS,red,33699189,63944051
906,2021-12-01,05,Stadt til Hustadvika,LAKS,yellow,14738616,29783718
908,2021-12-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,71396402,148564841
909,2021-12-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,30417708,62098796
910,2021-12-01,08,Helgeland til Bodø,LAKS,green,46762645,95237801
911,2021-12-01,09,Vestfjorden og Vesterålen,LAKS,green,45750985,81620119
912,2021-12-01,10,Andøya til Senja,LAKS,green,41839732,87182526
913,2021-12-01,11,Kvaløy til Loppa,LAKS,green,23966814,41223125
914,2021-12-01,12,Vest-Finnmark,LAKS,green,40082837,76039767
915,2021-12-01,13,Øst-Finnmark,LAKS,green,2970530,2594615
916,2022-01-01,01,Svenskegrensen til Jæren,LAKS,green,6871567,6284165
917,2022-01-01,02,Ryfylket,LAKS,yellow,22477356,46928541
918,2022-01-01,03,Karmøy til Sotra,LAKS,red,45874938,105464186
920,2022-01-01,04,Nordhordland til Stadt,LAKS,red,33733421,59042006
922,2022-01-01,05,Stadt til Hustadvika,LAKS,yellow,14136910,30682242
924,2022-01-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,77714061,151502893
925,2022-01-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,30219408,60344047
926,2022-01-01,08,Helgeland til Bodø,LAKS,green,43926295,92209649
927,2022-01-01,09,Vestfjorden og Vesterålen,LAKS,green,43520506,81257556
928,2022-01-01,10,Andøya til Senja,LAKS,green,38085392,77234735
929,2022-01-01,11,Kvaløy til Loppa,LAKS,green,22832981,40205048
930,2022-01-01,12,Vest-Finnmark,LAKS,green,37066933,69935195
931,2022-01-01,13,Øst-Finnmark,LAKS,green,2931783,2870845
932,2022-02-01,01,Svenskegrensen til Jæren,LAKS,green,6855720,7308235
933,2022-02-01,02,Ryfylket,LAKS,yellow,20124113,40785409
934,2022-02-01,03,Karmøy til Sotra,LAKS,red,42610913,100148590
936,2022-02-01,04,Nordhordland til Stadt,LAKS,red,31810952,56705659
938,2022-02-01,05,Stadt til Hustadvika,LAKS,yellow,13294631,30178795
940,2022-02-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75730298,150447144
941,2022-02-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,28758665,58415442
942,2022-02-01,08,Helgeland til Bodø,LAKS,green,40794381,86400982
943,2022-02-01,09,Vestfjorden og Vesterålen,LAKS,green,40594038,76383672
944,2022-02-01,10,Andøya til Senja,LAKS,green,35841937,72853282
945,2022-02-01,11,Kvaløy til Loppa,LAKS,green,21362937,36150114
946,2022-02-01,12,Vest-Finnmark,LAKS,green,35190389,68985060
947,2022-02-01,13,Øst-Finnmark,LAKS,green,2779665,3023034
948,2022-03-01,01,Svenskegrensen til Jæren,LAKS,green,6842522,8474199
949,2022-03-01,02,Ryfylket,LAKS,yellow,18967049,34457407
950,2022-03-01,03,Karmøy til Sotra,LAKS,red,52264571,96274144
952,2022-03-01,04,Nordhordland til Stadt,LAKS,red,31716666,55739947
954,2022-03-01,05,Stadt til Hustadvika,LAKS,yellow,14398043,32968881
956,2022-03-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,70838535,138425010
957,2022-03-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,26451885,52487254
958,2022-03-01,08,Helgeland til Bodø,LAKS,green,37703214,80965485
959,2022-03-01,09,Vestfjorden og Vesterålen,LAKS,green,38018330,72397584
960,2022-03-01,10,Andøya til Senja,LAKS,green,32695279,62023106
961,2022-03-01,11,Kvaløy til Loppa,LAKS,green,20514844,35505626
962,2022-03-01,12,Vest-Finnmark,LAKS,green,34053875,71159005
963,2022-03-01,13,Øst-Finnmark,LAKS,green,2747164,3354804
964,2022-04-01,01,Svenskegrensen til Jæren,LAKS,green,6830182,9865122
965,2022-04-01,02,Ryfylket,LAKS,yellow,19231291,34807545
966,2022-04-01,03,Karmøy til Sotra,LAKS,red,52092292,91362550
968,2022-04-01,04,Nordhordland til Stadt,LAKS,red,32879610,54927373
970,2022-04-01,05,Stadt til Hustadvika,LAKS,yellow,20544208,36582601
972,2022-04-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,71723834,139037031
973,2022-04-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,27434868,49010646
974,2022-04-01,08,Helgeland til Bodø,LAKS,green,37993802,80260011
975,2022-04-01,09,Vestfjorden og Vesterålen,LAKS,green,42786357,74544780
976,2022-04-01,10,Andøya til Senja,LAKS,green,30950635,55356491
977,2022-04-01,11,Kvaløy til Loppa,LAKS,green,21429692,35868907
978,2022-04-01,12,Vest-Finnmark,LAKS,green,35853220,70315851
979,2022-04-01,13,Øst-Finnmark,LAKS,green,2715333,3777210
980,2022-05-01,01,Svenskegrensen til Jæren,LAKS,green,6814440,11793815
981,2022-05-01,02,Ryfylket,LAKS,yellow,20147873,38315320
982,2022-05-01,03,Karmøy til Sotra,LAKS,red,50769985,90258670
984,2022-05-01,04,Nordhordland til Stadt,LAKS,red,32155053,53599297
986,2022-05-01,05,Stadt til Hustadvika,LAKS,yellow,22051224,38631840
988,2022-05-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75260238,140617994
989,2022-05-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29633776,48604113
990,2022-05-01,08,Helgeland til Bodø,LAKS,green,46806626,79240226
991,2022-05-01,09,Vestfjorden og Vesterålen,LAKS,green,47013730,73638412
992,2022-05-01,10,Andøya til Senja,LAKS,green,34908072,52054754
993,2022-05-01,11,Kvaløy til Loppa,LAKS,green,25585184,38334988
994,2022-05-01,12,Vest-Finnmark,LAKS,green,39225378,68231023
995,2022-05-01,13,Øst-Finnmark,LAKS,green,2684210,4191183
996,2022-06-01,01,Svenskegrensen til Jæren,LAKS,green,6795697,14871024
997,2022-06-01,02,Ryfylket,LAKS,yellow,22563683,43449466
998,2022-06-01,03,Karmøy til Sotra,LAKS,red,50657556,92846035
1000,2022-06-01,04,Nordhordland til Stadt,LAKS,red,28988950,48300626
1002,2022-06-01,05,Stadt til Hustadvika,LAKS,yellow,25794186,38188676
1004,2022-06-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75200757,137529546
1005,2022-06-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29177997,52832864
1006,2022-06-01,08,Helgeland til Bodø,LAKS,green,45882879,77453350
1007,2022-06-01,09,Vestfjorden og Vesterålen,LAKS,green,48217796,74861474
1008,2022-06-01,10,Andøya til Senja,LAKS,green,37091344,55627260
1009,2022-06-01,11,Kvaløy til Loppa,LAKS,green,26657980,43483925
1010,2022-06-01,12,Vest-Finnmark,LAKS,green,41918871,70079916
1011,2022-06-01,13,Øst-Finnmark,LAKS,green,3036015,4586228
1012,2022-07-01,01,Svenskegrensen til Jæren,LAKS,green,6682641,18414558
1013,2022-07-01,02,Ryfylket,LAKS,yellow,21045148,44569507
1014,2022-07-01,03,Karmøy til Sotra,LAKS,red,48563599,97311226
1016,2022-07-01,04,Nordhordland til Stadt,LAKS,red,28428499,52901075
1018,2022-07-01,05,Stadt til Hustadvika,LAKS,yellow,24634916,37609553
1020,2022-07-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,74822469,137152195
1021,2022-07-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29484613,55656655
1022,2022-07-01,08,Helgeland til Bodø,LAKS,green,44888392,80385212
1023,2022-07-01,09,Vestfjorden og Vesterålen,LAKS,green,49153393,83704318
1024,2022-07-01,10,Andøya til Senja,LAKS,green,39751633,65616512
1025,2022-07-01,11,Kvaløy til Loppa,LAKS,green,27526920,50919921
1026,2022-07-01,12,Vest-Finnmark,LAKS,green,45682006,72683838
