,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
154,2018-06-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,27150114,48300363
155,2018-06-01,08,Helgeland til Bodø,LAKS,green,41894725,80562063
156,2018-06-01,09,Vestfjorden og Vesterålen,LAKS,green,34518754,46109734
158,2018-06-01,10,Andøya til Senja,LAKS,green,33171761,45366798
159,2018-06-01,11,Kvaløy til Loppa,LAKS,green,24458897,39193778
160,2018-06-01,12,Vest-Finnmark,LAKS,green,33535653,47682890
161,2018-06-01,13,Øst-Finnmark,LAKS,green,2791290,4177241
162,2018-07-01,01,Svenskegrensen til Jæren,LAKS,green,5804744,11887400
163,2018-07-01,02,Ryfylket,LAKS,yellow,14140909,25714055
164,2018-07-01,03,Karmøy til Sotra,LAKS,red,48330591,81141555
166,2018-07-01,04,Nordhordland til Stadt,LAKS,red,30795332,57289692
168,2018-07-01,05,Stadt til Hustadvika,LAKS,yellow,20304130,31596863
170,2018-07-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,67425161,124894183
172,2018-07-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29445908,49748533
173,2018-07-01,08,Helgeland til Bodø,LAKS,green,41050575,78215767
174,2018-07-01,09,Vestfjorden og Vesterålen,LAKS,green,35357943,52366582
176,2018-07-01,10,Andøya til Senja,LAKS,green,33037939,50462239
177,2018-07-01,11,Kvaløy til Loppa,LAKS,green,23036783,43437561
178,2018-07-01,12,Vest-Finnmark,LAKS,green,37721679,52484709
179,2018-07-01,13,Øst-Finnmark,LAKS,green,3289311,5104160
180,2018-08-01,01,Svenskegrensen til Jæren,LAKS,green,6139801,13835559
181,2018-08-01,02,Ryfylket,LAKS,yellow,19033293,33194015
182,2018-08-01,03,Karmøy til Sotra,LAKS,red,49944993,85095421
184,2018-08-01,04,Nordhordland til Stadt,LAKS,red,32270265,58211655
186,2018-08-01,05,Stadt til Hustadvika,LAKS,yellow,21006051,33908962
188,2018-08-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,65845087,118349111
190,2018-08-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,33588556,54597775
191,2018-08-01,08,Helgeland til Bodø,LAKS,green,41406482,70053012
